title,description,skills,department,pay,latitude,longitude
Academic Course Marketplace App Development,"I'm looking for a talented developer to build an Academic Course Marketplace Application using Draftbit and Supabase. The application should cater to various user roles including Students, Teachers, Administrators, Parents, and Schools","Mobile App Development,Web Development",webdev,3000,22.5726,88.3639
Real-time CRM Integration for SaaS Platform,"I'm exploring ways to integrate our SaaS business analytics platform with our customers' CRMs, primarily Salesforce, HubSpot, and Zoho CRM. The integration needs to sync real-time data across various categories, specifically customer data, sales data, and activity logs. ","CRM,Software Architecture,Software Architecture",webdev,250,18.5204,73.8567
AI-Powered Recruitment Platform Development,"Develop a comprehensive AI-powered hiring platform that caters to both recruiters and job seekers, focusing on advanced job-candidate matching and interview automation","Web Development,full stack devlopement",webdev,75000,26.4499,80.3319
Build a bulk domain name search tool,"Looking for a web developer to build a script that search the availability of domain names (500k - 2 million searches per month) for a 30 TLDs/domain extensions, without the use of external APIs.","Python, javascript,sql",webdev,1000,19.2183,72.9781
Corporate WordPress Website Redesign & Development,"I'm looking for a seasoned WordPress expert to redesign and redevelop my existing WordPress website. The primary focus will be instilling a corporate design style, enhancing the site's overall functionality and user experience.","Web Development,CMS,LMS",webdev,250,21.1458,79.0882
Web and Mobile App UI/UX Designer Needed,We are an innovative company seeking a talented UI/UX Designer to enhance our digital product's user experience and interface. The ideal candidate will have a strong portfolio showcasing expertise in creating visually appealing and user-friendly designs,"User Interface / IA,UX / User Experience,HTML,CSS",graphic design,750,28.6139,77.209
Social Media Graphics Designer,"We are an innovative company seeking a talented Graphic Designer to create visually appealing designs that enhance our brand identity. We need a creative individual who can deliver outstanding designs for our websites, social media, and marketing materials.","Graphic design,photoshop,adobe indesign",graphic design,750,11.6234,78.2072
Modern Multi-Page Restaurant Menu Design,"I need an experienced graphic designer to create a modern style, multi-page menu for my restaurant. The menu should include: - Images of dishes - Descriptions of dishes - Prices","Graphic design,HTML,Photoshop",graphic design,1500,16.1667,81.4314
Open School Website Development,I'm looking for a skilled web developer to create a comprehensive website for my open school. The primary purpose of the site is to serve as an informational hub and a platform for advertising.,"website design,HTML,CSS,PHP",graphic design,1500,24.5823,73.6863
Astrology Service UI Development in React like,"I'm looking for a talented UI developer to design a website similar to [login to view URL] but tailored to my astrology services. The site will offer horoscope readings, tarot card readings, and live consultations.","Java script ,HTML 5,Website Design",graphic design,37500,27.0238,76.9663
Excel & VBA Expert Needed for Pricing Chart Adjustment,"I'm looking for an experienced Excel and VBA professional to help me with my product pricing chart. The project will involve:Analyzing the current template, Updating existing pricing data in the macro values","Excel,visual basics",data entry,1500,25.4358,81.8463
Excel Billing Form for Fixed-Price Services,I'm looking for a professional who can create a tailored Excel billing form for my fixed-price services. The form should have: - A section for client information - A detailed breakdown of the services provided,"PHP,Software Architecture",data entry,250,22.3094,72.6369
ASME U Stamp Certification for Compressor,I'm seeking a professional with expertise in securing ASME U Stamp certification for a commercial air compressor. I have a complete set of documentation and drawings ready for review.,"Data Entry,data processiong",data entry,750,18.5793,73.8567
Verified Email Acquisition of Investors/VC/Angel Investors,"The ideal candidate for this project should be able to provide not only the email addresses, but also the investors' company affiliation and social media profiles. It would be a plus if you could include their personal email address and location as well.","Data Entry,Excel,Web search",data entry,250,12.9716,77.5946
Web Scraping for Company Contact Information,"I'm in need of a professional web scraper who can assist in scanning company websites for contact details.,Specific data: I'm primarily interested in obtaining email addresses, phone numbers, and physical addresses from these sites.","Data Entry,Excel,Web search",data entry,250,26.8467,80.9462
Newsletter Bulk Emailing Expert,I am looking for a professional who can assist me with sending out newsletters. The ideal candidate should have experience in bulk emailing.,"Email handling ,Bulk marketing",Internet Marketing,250,21.1702,82.7887
Social Media Management & Lead Generation Expert,I'm looking for a professional who can manage my company's social media presence and help generate leads. Your primary focus will be on enhancing our brand awareness across various platforms. ,"social media marketing ,Social networking",Internet Marketing,37500,15.3173,80.027
Facebook SMM Expert Needed for PostsMe,I'm seeking a skilled social media manager with expertise in Facebook marketing to drive traffic to our  Marketing Platform. The primary goal of this project is to increase the number of visitors to our website through engaging and strategic promotion on Facebook. ,"social media marketing ,Social networking",Internet Marketing,500,26.1445,91.7362
Instagram Launch for Vintage Embroidery Brand,"I'm seeking a social media expert to kickstart my embroidery clothing brand's Instagram page. The focus will primarily be on creating engaging posts and reels showcasing our unique, vintage-inspired products.","Graphic design ,Instagram ads",Internet Marketing,250,13.0827,80.2707
Meta Ads Expert Needed for Fashion Brand,"I'm looking for a seasoned professional to set up and manage our Meta ads campaign for our fashion apparel brand based in India. Our primary goal is to drive online sales, and we are targeting adults aged 25-60","Advertising , internet marketing",Internet Marketing,12500,28.6799,77.7795
