title,description,skills,pay,latitude,longitude
Expert HR Consultant,"Design user interfaces and experiences using tools like Figma, Sketch, and Adobe XD. for a quick turnaround project.","Social Media Management, Content Creation, Instagram, Facebook, LinkedIn",936,-61.15381573658257,35.63193939185555
Certified QA Tester,Write compelling copy for marketing materials and websites using persuasive language. for a long-term collaboration.,"Video Editing, Adobe Premiere, After Effects, Motion Graphics",725,44.00493311651934,-85.28008323968368
Senior 3D Modeler,Write technical documentation for products and services using clear and concise language. to improve existing infrastructure.,"AR/VR Development, Unity, Unreal Engine",1865,-10.897707802440223,-42.55097519897754
Creative Full Stack Developer,"Build and train machine learning models using Python, TensorFlow, and scikit-learn. to revamp an existing platform.","Recruitment, HR, LinkedIn, Staffing",1500,76.46340833130765,-88.01861150110528
Senior Technical Writer,Enter data into databases and systems with high accuracy and attention to detail. to improve existing infrastructure.,"Social Media Management, Content Creation, Instagram, Facebook, LinkedIn",1274,-49.817926470696705,-137.42396958057424
Creative Backend Developer,Write technical documentation for products and services using clear and concise language. for a quick turnaround project.,"Adobe Photoshop, Adobe Illustrator, Graphic Design, Branding",1188,70.12454407971484,-47.890648909038134
Creative Illustrator,"Design and develop websites using modern frameworks such as React, Angular, and Vue. to improve existing infrastructure.","Social Media Management, Content Creation, Instagram, Facebook, LinkedIn",824,14.25989980810661,-73.68813395532504
Skilled Lead Generation Specialist,Manage projects using Agile methodologies and tools like Jira and Trello. for a quick turnaround project.,"Swift, Kotlin, React Native, Mobile App Development",559,60.46049686254452,-163.3020537271736
Junior Blockchain Developer,"Manage and maintain network infrastructure using Cisco, Juniper, and Fortinet. for ongoing support.","Google Analytics, SEMrush, Moz, SEO Tools",1430,18.62786860692114,66.98504446595709
Professional AI Developer,"Analyze financial data using Excel, QuickBooks, and financial modeling techniques. to improve existing infrastructure.","Software Development, C++, Java, Python",474,89.57360867297038,-160.78754343042073
Certified Network Engineer,Plan and execute email marketing campaigns using platforms like Mailchimp and SendGrid. for a long-term collaboration.,"Swift, Kotlin, React Native, Mobile App Development",304,89.10584388366163,164.84601722071818
Senior QA Tester,"Design and develop websites using modern frameworks such as React, Angular, and Vue. to launch a new product.","Transcription, Typing, Accuracy, Time Management",901,20.272982196600523,80.55087318929935
Senior eCommerce Specialist,Provide HR consultancy and recruitment services using industry best practices. for a large-scale deployment.,"Swift, Kotlin, React Native, Mobile App Development",287,-44.11480512900658,77.89592732453963
Certified Technical Writer,Optimize websites for search engines using advanced SEO tools and techniques. for a long-term collaboration.,"Legal Consulting, Contracts, Trademarks, Compliance",347,0.01421101448954687,-144.46992536421325
Creative Technical Writer,"Develop frontend components of web applications using HTML, CSS, and JavaScript. for a quick turnaround project.","QA Testing, Selenium, JUnit, TestNG",209,59.302502772426095,-158.54745989176524
Skilled Sales Representative,"Develop backend services and APIs using Python, Ruby on Rails, and Java. for a large-scale deployment.","Network Engineering, Cisco, Juniper, Fortinet",1588,63.90242202903784,151.20744356603444
Creative Lead Generation Specialist,"Develop frontend components of web applications using HTML, CSS, and JavaScript. for a high-profile client.","Recruitment, HR, LinkedIn, Staffing",688,62.6817857522592,-16.651361728269876
Senior Technical Writer,"Create 3D models for games, movies, and advertisements using Blender, Maya, and 3ds Max. for a startup project.","AR/VR Development, Unity, Unreal Engine",255,-7.378281288626027,-76.11945881078316
Certified IT Support,"Develop artificial intelligence models and systems using Python, Keras, and PyTorch. for a quick turnaround project.","Customer Support, CRM, Zendesk, Salesforce",1523,-70.05686712291458,-159.8050256946791
Junior Graphic Designer,Sell products and services to customers using CRM tools and sales techniques. for ongoing support.,"HR, Recruitment, Talent Acquisition, Employee Relations",1856,69.81958613022553,75.04391645378573
Experienced Cybersecurity Analyst,"Analyze financial data using Excel, QuickBooks, and financial modeling techniques. to improve existing infrastructure.","CRM, Salesforce, HubSpot, Zoho CRM",1066,-74.96860825349239,-26.67155605840071
Creative AI Developer,"Provide legal advice and consultancy services on contracts, trademarks, and compliance. for a leading tech company.","Unity, C#, Unreal Engine, Game Development",252,-56.62231436059046,57.62204037574011
Professional Graphic Designer,"Design and develop websites using modern frameworks such as React, Angular, and Vue. for a high-profile client.","3D Modeling, Blender, Maya, 3ds Max",788,72.16723443392874,-77.00683709205416
Experienced Cloud Architect,"Develop software applications across various platforms using C++, Java, and Python. to improve existing infrastructure.","HR, Recruitment, Talent Acquisition, Employee Relations",1742,52.0517275139527,1.1034272484516805
